prior,n_windows,epsilon_r,lambda_mean,accept_rate,false_accept_rate,false_reject_rate
debil,20,0.05,2.33241928284861,0.0,0.0,0.72
debil,50,0.05,1.4761929088255266,0.0,0.0,0.84
debil,100,0.05,1.037386219461724,0.06,0.04,0.9
debil,300,0.05,0.599615429107434,1.0,0.0,0.0
informativo,20,0.05,2.299963837570095,0.0,0.0,0.74
informativo,50,0.05,1.4678800510641958,0.0,0.0,0.84
informativo,100,0.05,1.034485307613749,0.07,0.04,0.89
informativo,300,0.05,0.5990549529163924,1.0,0.0,0.0
sesgado,20,0.05,2.273043621157317,0.0,0.0,0.72
sesgado,50,0.05,1.46085379474509,0.0,0.0,0.87
sesgado,100,0.05,1.0320180014436193,0.09,0.05,0.87
sesgado,300,0.05,0.5985759919443866,1.0,0.0,0.0
debil,20,0.1,1.166209641424305,0.0,0.0,0.92
debil,50,0.1,0.7380964544127633,1.0,0.01,0.0
debil,100,0.1,0.518693109730862,1.0,0.0,0.0
debil,300,0.1,0.299807714553717,1.0,0.0,0.0
informativo,20,0.1,1.1499819187850475,0.0,0.0,0.93
informativo,50,0.1,0.7339400255320979,1.0,0.01,0.0
informativo,100,0.1,0.5172426538068745,1.0,0.0,0.0
informativo,300,0.1,0.2995274764581962,1.0,0.0,0.0
sesgado,20,0.1,1.1365218105786585,0.0,0.0,0.94
sesgado,50,0.1,0.730426897372545,1.0,0.01,0.0
sesgado,100,0.1,0.5160090007218097,1.0,0.0,0.0
sesgado,300,0.1,0.2992879959721933,1.0,0.0,0.0
debil,20,0.2,0.5831048207121525,1.0,0.0,0.0
debil,50,0.2,0.36904822720638164,1.0,0.0,0.0
debil,100,0.2,0.259346554865431,1.0,0.0,0.0
debil,300,0.2,0.1499038572768585,1.0,0.0,0.0
informativo,20,0.2,0.5749909593925238,1.0,0.0,0.0
informativo,50,0.2,0.36697001276604896,1.0,0.0,0.0
informativo,100,0.2,0.25862132690343725,1.0,0.0,0.0
informativo,300,0.2,0.1497637382290981,1.0,0.0,0.0
sesgado,20,0.2,0.5682609052893293,1.0,0.0,0.0
sesgado,50,0.2,0.3652134486862725,1.0,0.0,0.0
sesgado,100,0.2,0.25800450036090483,1.0,0.0,0.0
sesgado,300,0.2,0.14964399798609665,1.0,0.0,0.0
