prior,n_windows,replicates,zeta_mean_mean,zeta_mean_sd,zeta_sd_mean,lambda_mean,lambda_sd,response_bias_mean,response_bias_mle_mean,zeta_rmse,coverage_rate,accept_rate,false_accept_rate,false_reject_rate,profile_accept_rate,profile_false_accept_rate,profile_false_reject_rate,accept_lambda_ci_low,accept_lambda_ci_high,false_accept_ci_low,false_accept_ci_high,false_reject_ci_low,false_reject_ci_high,credible_coverage_ci_low,credible_coverage_ci_high,accept_profile_ci_low,accept_profile_ci_high,profile_false_accept_ci_low,profile_false_accept_ci_high,profile_false_reject_ci_low,profile_false_reject_ci_high
debil,20,100,0.029936894217023894,0.001526105113790439,0.0017775054710412372,1.166209641424305,0.05324083245729172,0.04044324410527013,0.04090486852095969,0.00151976616293395,0.96,0.0,0.0,0.92,0.07,0.01,0.86,0.0,0.03699480747600191,0.0,0.03699480747600191,0.8500173312059693,0.9589070305141891,0.9016278276739262,0.984336949448152,0.034318824364064096,0.13749671006529757,0.0017673865655472645,0.0544875247609346,0.7786263961619276,0.914737342455351
debil,50,100,0.029941677238044674,0.001088513127198643,0.001126306094042932,0.7380964544127633,0.023613514504272563,0.02857691353631033,0.029579928283528383,0.0010846260942670653,0.94,1.0,0.01,0.0,1.0,0.01,0.0,0.9630051925239981,0.9999999999999999,0.0017673865655472645,0.0544875247609346,0.0,0.03699480747600191,0.8752303146877748,0.9722142547333433,0.9630051925239981,0.9999999999999999,0.0017673865655472645,0.0544875247609346,0.0,0.03699480747600191
debil,100,100,0.03007815978026128,0.0008526322825225711,0.0007954743927591451,0.518693109730862,0.012425326200813486,0.02191909106824788,0.022389191787005026,0.0008519512558580717,0.93,1.0,0.0,0.0,1.0,0.0,0.0,0.9630051925239981,0.9999999999999999,0.0,0.03699480747600191,0.0,0.03699480747600191,0.8625032899347025,0.965681175635936,0.9630051925239981,0.9999999999999999,0.0,0.03699480747600191,0.0,0.03699480747600191
debil,300,100,0.029987677345886504,0.0003897015844820519,0.00045863519258088715,0.299807714553717,0.0036535309792991733,0.01023739213076435,0.011465988503212112,0.00038794393860807307,0.97,1.0,0.0,0.0,1.0,0.0,0.0,0.9630051925239981,0.9999999999999999,0.0,0.03699480747600191,0.0,0.03699480747600191,0.915479219195973,0.9897456617765851,0.9630051925239981,0.9999999999999999,0.0,0.03699480747600191,0.0,0.03699480747600191
informativo,20,100,0.029937146588748766,0.0014844901494797168,0.0017529606107262161,1.1499819187850475,0.05136041522700532,0.03931963296308198,0.04090486852095969,0.0014783857565497608,0.96,0.0,0.0,0.93,0.07,0.01,0.86,0.0,0.03699480747600191,0.0,0.03699480747600191,0.8625032899347025,0.965681175635936,0.9016278276739262,0.984336949448152,0.034318824364064096,0.13749671006529757,0.0017673865655472645,0.0544875247609346,0.7786263961619276,0.914737342455351
informativo,50,100,0.029942074795702232,0.0010764508499956488,0.0011200018525812936,0.7339400255320979,0.023284951608715937,0.028256390819641212,0.029579928283528383,0.0010726202950833669,0.94,1.0,0.01,0.0,1.0,0.01,0.0,0.9630051925239981,0.9999999999999999,0.0017673865655472645,0.0544875247609346,0.0,0.03699480747600191,0.8752303146877748,0.9722142547333433,0.9630051925239981,0.9999999999999999,0.0017673865655472645,0.0544875247609346,0.0,0.03699480747600191
informativo,100,100,0.030077643181906647,0.0008478605596876178,0.0007932411797910758,0.5172426538068745,0.012339926740190542,0.021796601804327017,0.022389191787005026,0.0008471760838713821,0.93,1.0,0.0,0.0,1.0,0.0,0.0,0.9630051925239981,0.9999999999999999,0.0,0.03699480747600191,0.0,0.03699480747600191,0.8625032899347025,0.965681175635936,0.9630051925239981,0.9999999999999999,0.0,0.03699480747600191,0.0,0.03699480747600191
informativo,300,100,0.0299876946053398,0.0003889743986373995,0.0004582069685232864,0.2995274764581962,0.003644893359861672,0.010218304266004882,0.011465988503212112,0.0003872202147423563,0.97,1.0,0.0,0.0,1.0,0.0,0.0,0.9630051925239981,0.9999999999999999,0.0,0.03699480747600191,0.0,0.03699480747600191,0.915479219195973,0.9897456617765851,0.9630051925239981,0.9999999999999999,0.0,0.03699480747600191,0.0,0.03699480747600191
sesgado,20,100,0.0303999249033041,0.0014935316392079994,0.0017593322244661446,1.1365218105786585,0.049838465957106934,0.0409675506799628,0.04090486852095969,0.0015389185547081343,0.97,0.0,0.0,0.94,0.07,0.01,0.86,0.0,0.03699480747600191,0.0,0.03699480747600191,0.8752303146877748,0.9722142547333433,0.915479219195973,0.9897456617765851,0.034318824364064096,0.13749671006529757,0.0017673865655472645,0.0544875247609346,0.7786263961619276,0.914737342455351
sesgado,50,100,0.030130539794844778,0.0010786710027445884,0.0011216713764275821,0.730426897372545,0.023008536049034734,0.028457227343266136,0.029579928283528383,0.0010811736488087896,0.95,1.0,0.01,0.0,1.0,0.01,0.0,0.9630051925239981,0.9999999999999999,0.0017673865655472645,0.0544875247609346,0.0,0.03699480747600191,0.8882480347279118,0.9784566385436864,0.9630051925239981,0.9999999999999999,0.0017673865655472645,0.0544875247609346,0.0,0.03699480747600191
