prior,n_windows,replicate,seed,window_cycles,n_samples_per_window,n_samples_total,zeta_true,f_n_hz,noise_sd,prior_mu,prior_sd,zeta_mean,zeta_sd,zeta_q025,zeta_q975,zeta_mle,profile_q025,profile_q975,sensitivity,cv_zeta,lambda_zeta,response_half_width_nonlinear,zeta_credible_half_width,profile_response_half_width,lambda_profile,accept_lambda,accept_nonlinear,accept_profile,response_bias_relative,response_bias_mle_relative,credible_coverage,zeta_error_sq,false_accept,false_reject,profile_false_accept,profile_false_reject
debil,20,0,20260728,5,250,5000,0.03,1.0,0.5,0.03,0.03,0.029757717403643455,0.001773461069864966,0.02604205612033603,0.03302001139212159,0.029648535564853556,0.026686192468619245,0.03310460251046025,1.0,0.05959667691608054,1.1680948675551786,0.12073837086476903,0.11724614454015876,0.10770248367032653,1.0568757266701587,False,False,False,0.008141840755799237,0.011854360711261619,True,5.870085649726799e-08,False,True,False,True
debil,20,1,20260729,5,250,5000,0.03,1.0,0.5,0.03,0.03,0.02993818390207771,0.0017391911670488226,0.026292121965901562,0.03311383607555417,0.030142259414225936,0.026686192468619245,0.03310460251046025,1.0,0.05809274112075057,1.1386177259667112,0.11728806947809702,0.11392999207909833,0.10949600513139039,1.0505049106481794,False,False,False,0.002064791175192013,0.004719600222098776,True,3.8212299623378484e-09,False,True,False,True
debil,20,2,20260730,5,250,5000,0.03,1.0,0.5,0.03,0.03,0.0310971832855826,0.0017185602697773147,0.027484524736531023,0.034259987437071884,0.03112970711297071,0.028167364016736397,0.03409205020920502,1.0,0.05526417791588476,1.0831778871513413,0.11188054817615582,0.10894013516140749,0.09603091470890145,0.9335560097674731,False,False,True,0.03528240083696843,0.03629032258064519,True,1.203811162161831e-06,False,True,False,False
debil,20,3,20260731,5,250,5000,0.03,1.0,0.5,0.03,0.03,0.02972034670427666,0.001781230992537412,0.02598486498139594,0.03300136811796658,0.029648535564853556,0.026686192468619245,0.03310460251046025,1.0,0.059933048906226215,1.1746877585620337,0.12158841309887908,0.11804208084088376,0.10770248367032653,1.0582046541366668,False,False,False,0.009409489684152915,0.011854360711261619,True,7.820596580892553e-08,False,True,False,True
debil,20,4,20260732,5,250,5000,0.03,1.0,0.5,0.03,0.03,0.032211166897686216,0.0018361668325942578,0.028370355675184873,0.03558151793158562,0.032117154811715475,0.028661087866108784,0.03557322175732217,1.0,0.05700404578407722,1.1172792973679135,0.11505155108792796,0.11193575009725491,0.10886877626045903,1.051481809849568,False,False,False,0.06864597314060826,0.06591974986972371,True,4.889259049423292e-06,False,True,False,True
debil,20,5,20260733,5,250,5000,0.03,1.0,0.5,0.03,0.03,0.03127978647608433,0.0017524367712892497,0.0276218013261325,0.034501540113369686,0.03112970711297071,0.028167364016736397,0.034585774058577406,1.0,0.05602457589117864,1.098081687467101,0.11290554046845909,0.10997099984197856,0.10254837698227356,1.005448334152374,False,False,False,0.0409141691891925,0.03629032258064519,True,1.6378534243683467e-06,False,True,False,True
debil,20,6,20260734,5,250,5000,0.03,1.0,0.5,0.03,0.03,0.030624793656208776,0.001787923447384544,0.026876043225927314,0.033926503757813455,0.030635983263598322,0.02717991631799163,0.03409205020920502,1.0,0.058381567152928915,1.1442787161974066,0.11840123270786085,0.11511033528966737,0.11426487143026415,1.1059488742083006,False,False,False,0.020401562969620597,0.020759355367385834,True,3.9036711283873115e-07,False,True,False,True
debil,20,7,20260735,5,250,5000,0.03,1.0,0.5,0.03,0.03,0.029300921673048846,0.0017756370239244816,0.025585863144023738,0.03256032531885629,0.02915481171548117,0.02619246861924686,0.03261087866108786,1.0,0.06060003994883623,1.1877607829971901,0.12265159524276148,0.11901438208422811,0.10953899985324994,1.0733522158775295,False,False,False,0.023858578059480277,0.028989667049368603,True,4.887105072128224e-07,False,True,False,True
debil,20,8,20260736,5,250,5000,0.03,1.0,0.5,0.03,0.03,0.03193336693346868,0.001796154369317565,0.028194369890105164,0.03524985778668642,0.032117154811715475,0.028661087866108784,0.035079497907949786,1.0,0.05624694611939131,1.1024401439400695,0.1133501253055803,0.11047203245559661,0.10251525324566771,0.98486981565538,False,False,False,0.06054378598713821,0.06591974986972371,True,3.7379076994300995e-06,False,True,False,True
debil,20,9,20260737,5,250,5000,0.03,1.0,0.5,0.03,0.03,0.028371626513857648,0.0018161189906584897,0.024574547083731788,0.03171561430789588,0.028167364016736397,0.025205020920502086,0.031623430962343095,1.0,0.0640118038270184,1.2546313550095605,0.12997466589003323,0.12584874576500146,0.11340902597601138,1.1085092068887772,False,False,False,0.05739443543524011,0.06506238859180051,True,2.6516002103713933e-06,False,True,False,True
debil,20,10,20260738,5,250,5000,0.03,1.0,0.5,0.03,0.03,0.03159171044958552,0.0017789659604019678,0.02786059538803464,0.0348779200048238,0.031623430962343095,0.028167364016736397,0.035079497907949786,1.0,0.05631116312112527,1.1036987971740553,0.11407060405765909,0.11106275217335101,0.11060927812022338,1.0720994711886507,False,False,False,0.05038380090643052,0.05133633236305904,True,2.5335421553197313e-06,False,True,False,True
debil,20,11,20260739,5,250,5000,0.03,1.0,0.5,0.03,0.03,0.02972865738136686,0.0017727044054075926,0.02601110763967347,0.03299357072293028,0.029648535564853556,0.026686192468619245,0.03310460251046025,1.0,0.05962948082945303,1.1687378242572795,0.12093883551621946,0.11743656959821591,0.10770248367032653,1.057908831925019,False,False,False,0.009127308211477114,0.011854360711261619,True,7.362681668668888e-08,False,True,False,True
debil,20,12,20260740,5,250,5000,0.03,1.0,0.5,0.03,0.03,0.030167351169213097,0.0018045976104002872,0.02638636660574476,0.03349498661190293,0.030142259414225936,0.026686192468619245,0.033598326359832634,1.0,0.059819557914714966,1.1724633351284133,0.12132019005037661,0.11781975762944641,0.11618597084389168,1.1227189247397578,False,False,False,0.005547426695648596,0.004719600222098776,True,2.800641383699096e-08,False,True,False,True
debil,20,13,20260741,5,250,5000,0.03,1.0,0.5,0.03,0.03,0.029828965103649213,0.0017908361663637575,0.02608607793179263,0.03310593522717715,0.029648535564853556,0.026686192468619245,0.03310460251046025,1.0,0.06003681858022859,1.1767216441724804,0.12123327170736616,0.11766846873486947,0.10770248367032653,1.054351335882362,False,False,False,0.005733852842580304,0.011854360711261619,True,2.9252935769724015e-08,False,True,False,True
debil,20,14,20260742,5,250,5000,0.03,1.0,0.5,0.03,0.03,0.03266267055022895,0.0018160259097579064,0.028861015118712884,0.03600666128092295,0.03261087866108786,0.02915481171548117,0.03606694560669456,1.0,0.0555994313742719,1.0897488549357293,0.11229715305452476,0.10938551627646956,0.10718278587430509,1.0369469334989263,False,False,False,0.08152029535166981,0.08006158583525777,True,7.089814459056548e-06,False,True,False,True
